Trans Date,Trans Type/#,Category,Vendor/Description,Function,GL Account,Debit,Credit,Date Cleared
 03/22/19,Check 408620586,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,"Houston Street Enterprises, Inc.  Flight Time at Kitty Hawk Field Inv#",11-Instruction,6499-Misc. Operating Expenses,$100.00 ,$0.00 , 04/30/19
 03/22/19,Check 408620588,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,Pizza Hut Lunch for Rocketry Students Inv#,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,$32.00 ,$0.00 , 03/31/19
 03/26/19,Check 408620589,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,Apogee Components Parts for Rocketry Inv# 020286,11-Instruction,6399-General Supplies,$139.98 ,$0.00 , 04/30/19
 04/23/19,Check 408620592,GRANTS 865-872GRA,Aerospace Industires Association Team Number 19-5264 Inv#,11-Instruction,6499-Misc. Operating Expenses,$100.00 ,$0.00 , 05/31/19
 05/03/19,Check 408620593,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,"Houston Street Enterprises, Inc.  Field Time for Practice Launches Inv#",11-Instruction,6499-Misc. Operating Expenses,$100.00 ,$0.00 , 05/31/19
 05/10/19,DebitMemo CAF051019,GRANTS 865-872GRA,REIMB BUDGET FOR TRAVEL,36-Extracurricular/After School Activities,6412-Student Travel,$400.00 ,$0.00 , 05/31/19
 05/13/19,Check 408620595,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,"Houston Street Enterprises, Inc.  Kitty Hawk Flying Field - Practice Launch Inv# 000000",11-Instruction,6399-General Supplies,$100.00 ,$0.00 , 05/31/19
 05/15/19,Check 408620597,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,K D Logo TARC T Shirts Inv# 10048,11-Instruction,6399-General Supplies,$96.00 ,$0.00 , 05/31/19
 05/31/19,DebitMemo CAF053119,GRANTS 865-872GRA,P-CARD CHARGES-AIRFARE-TARC,36-Extracurricular/After School Activities,6412-Student Travel,"$2,195.00 ",$0.00 , 05/31/19
 06/06/19,DebitMemo CAF060619,GRANTS 865-872GRA,SW AIRLINES FOR TARC TRAVEL,36-Extracurricular/After School Activities,6412-Student Travel,"$2,195.00 ",$0.00 , 06/30/19
 06/13/19,Check 408620607,GRANTS 865-872GRA,Enterprise Rent A Car Co Vehicle Rental for TARC Nationals Inv# 345776643,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,$515.00 ,$0.00 , 06/30/19
 06/20/19,DebitMemo May REIMB,GRANTS 865-872GRA,RFP 61824,11-Instruction,6499-Misc. Operating Expenses,$465.00 ,$0.00 , 06/30/19
 06/27/19,DebitMemo CAF062719,GRANTS 865-872GRA,INV 0619-013/014,36-Extracurricular/After School Activities,6412-Student Travel,$714.87 ,$0.00 , 06/30/19
 06/27/19,DebitMemo Jun REIMB,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,RFP 62967,11-Instruction,6399-General Supplies,$15.01 ,$0.00 , 06/30/19
 09/26/19,Check 408620619,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,Aerospace Industires Association Registration for Team 20-5925 Inv# 0000,36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,$125.00 ,$0.00 , 10/31/19
 11/14/19,Check 408620627,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,Aerospace Industires Association Registration for Team 20-6713 Inv# 000,11-Instruction,6499-Misc. Operating Expenses,$125.00 ,$0.00 ,
 11/15/19,Check 408620628,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,Balsa Machining Service Supplies for Rocketry Inv# 193091,11-Instruction,6399-General Supplies,$19.80 ,$0.00 ,
 11/22/19,Check 408620633,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,"David W Abmayr, Jr. Reimbursement of Hotel Cost Inv#",36-Extracurricular/After School Activities,6499-Misc. Operating Expenses,$108.74 ,$0.00 ,
 12/03/19,Check 408620634,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,"Apogee Components Invoice's 030837, 030561, 030639 Inv# XXX",11-Instruction,6399-General Supplies,$694.63 ,$0.00 ,
 12/10/19,Check 408620637,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,Apogee Components Rocketry Parts Inv# 031411,11-Instruction,6399-General Supplies,$81.24 ,$0.00 ,
 12/10/19,Check 408620638,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,Apogee Components Rocketry Parts Inv# 032006,11-Instruction,6399-General Supplies,$27.09 ,$0.00 ,
 12/12/19,DebitMemo Nov REIMB,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,RFP 65570,11-Instruction,6399-General Supplies,$24.97 ,$0.00 ,
 12/18/19,Check 408620645,ENGINEERING TECH. ACA.-ROCKETRY PROGRAM 865-521ENG,Apogee Components Parts for Rocketry Inv# 032450,11-Instruction,6399-General Supplies,$77.68 ,$0.00 ,
